Name of the Industry,Location,District
M/s. Lexus Steels (P) Ltd,"At-Sonua, PO-Koira",Sundargada
M/s. Jeet Minerals,At-Sralapentha,Kendujhar
M/s. Utkal Minerals Ind.,"Saralpantha, Mahadeijoda",Kendujhar
M/s. Chandawasia Exim (P) Ltd,"At-Sonua, PO-Patmunda",Sundargada
M/s. Gajanan Metallics,"At-Patmunda, PO-Koira",Sundargada
M/s. S.R Minerals,"At-Naibuga, PO-Dubuna",Kendujhar
M/s. Hindustan Minerals,"At-Raika, PO-Serenda",Kendujhar
M/s. Orind Steel Ltd,"At-Khuntpani, PO-Banspani",Kendujhar
M/s. Ujala Minerals,"At-Talachampei, PO-Suakati",Kendujhar
M/s. Devpuri Iron,"At-Tanto, PO-Bhadrasahi",Kendujhar
M/s. Loh Ayaska Udyog,"At-Kundula, PO-Palaspanga",Kendujhar
M/s. Sriram Crushing Industries,"At-Basudevpur, PO-Nuradpur",Kendujhar
M/s. Narssingh Mineral Works (P) Ltd,"At-Kamondo, PO-Kalta",Sundargada
M/s. Krishna Ores (P) Ltd,"At-Bijabahal, PO-Biramitrapur",Sundargada
M/s. Sri Sindhuja Steel (P) Ltd,"At-Nayagada, PO-Dubuna",Kendujhar
M/s. Rungta Minerals,At/PO-Talchampei,Kendujhar
M/s. Nayagada Minerals,"At-Jalapopushi, PO-Dubuna",Kendujhar
M/s. Srirampur Steel (P) Ltd,"At-Bada-Indupur, PO-Koira",Sundargada
M/s. GSN Murty Minerals (P) Ltd,At/PO-Matkambeda,Kendujhar
M/s. Sri Hari Industries,At/PO-Dubuna,Kendujhar
M/s. Mangal Steel (P) Ltd,"Sanaindupur, Koira",Sundargada
M/s. P. C. Ferro Melters (P) Ltd,,Kendujhar
M/s. MDM Steel & Metals,"At-Kalhabarpada, PO-Badabil",Kendujhar
M/s. Surendra Mining Industries (P) Ltd,At/PO-Koira,Sundargada
M/s. Nilachakra Metal Processors (P) Ltd,"At-Tankajoda, PO-Lalchi",Sundargada
M/s. Atyadhunik Minerals Processing,At/PO-Koira,Sundargada
M/s. Krishna Kanheyia Metal (P) Ltd,At/PO-Koira,Sundargada
M/s. Shakti Mines & Minerals,"At-Lasarda, PO-Badabil",Kendujhar
M/s. Deepak Steels & Power Ltd,"At-Uliburu, PO-Nalda",Kendujhar
M/s. Iron Cementics India,"At/PO-Patmunda, Koira",Sundargada
M/s. Gopi Krishna Minerals & Metals,"At-Kolmang, Koira",Sundargada
M/s. M. V. Industries (P) Ltd,"At-Kolhabarpada, Badabil",Kendujhar
M/s. Tirupati Minerals,"At-Hindola, Palsponga",Kendujhar
M/s. R. K. Minerals,"At-Kandarposhi, Rengalbeda",Kendujhar
M/s. Tarini Alloys (P) Ltd,"At/PO-Dubuna, Purunadihi",Kendujhar
M/s. Sri Jagannath Minerals,"At-Batijanga, PO-Harisdaspur",Jajpur
M/s. Tulsi Ispat (P) Ltd,"At-Kamando, Koira",Sundargada
M/s. Alfa Minerals,"At-Roida, PO-Badabil",Kendujhar
M/s. Mahamaya Sponge Feed (P) Ltd,At/PO-Koira,Sundargada
M/s. Vibgyor Steels & Mines Ltd,"At-Khuntugaon, Bonai",Sundargada
